"","Category","variable","mean","sd","median","q25","q75","min","max"
"1","Antropometric","BMI",-0.00827524138429451,0.972773065737846,-0.146050286769745,-0.681280173314046,0.490845345040884,-3.09545432057584,4.99911155852131
"2","Antropometric","DBP",-0.000951020401127404,0.996486102488693,0.111086504727347,-0.812596483900296,0.572927999041169,-4.87680163386193,4.91423804559109
"3","Antropometric","Height",0.00072434760313289,0.997730094184607,-0.0470827542939728,-0.794542482998579,0.700376974410634,-4.63862108776513,3.79699585047257
"4","Antropometric","SBP",-0.00294003513535467,0.991679467055569,-0.122354593134639,-0.636481421285119,0.563147844399335,-3.32136596829318,4.96178848524233
"5","Antropometric","Waist",-0.00447576865154083,0.9441592382298,-0.0365774568717319,-0.683261878116589,0.610106964373125,-4.41966075642021,4.92133643933884
"6","Antropometric","Weight",-0.00405440343843346,0.987670467423066,-0.11137682547103,-0.707966810579159,0.61778871188335,-3.35947785550418,4.99278193600963
"7","Blood assays","Glucose_2hr",-0.0134811021988186,0.946085920234034,-0.0380719553740371,-0.497145252641062,0.41533377032179,-3.72199347665264,4.94939102728007
"8","Blood assays","Glucose_Fasting",-0.0506311080898378,0.72864768731472,-0.075811273060643,-0.435467035308616,0.342166303617891,-4.51804595812344,4.91076726837747
"9","Blood assays","HDL",-0.0415183255270799,0.460717521759098,-0.0907249507321323,-0.327246428375423,0.17536171161657,-1.36202789306482,4.9944838110725
"10","Blood assays","LDL",-0.00294125939910892,0.992157796191356,-0.0603572791797156,-0.620257223487332,0.592859322512504,-3.23312363025621,4.97874221958883
"11","Blood assays","Total_Cholesterol",-0.00311107114610819,0.989573230620167,-0.0691421656420149,-0.676894133881589,0.606137155071464,-4.71169192302765,4.98701476693684
"12","Blood assays","Triglycerides",-0.0364328940912957,0.828173453343769,-0.288789553019725,-0.652100084803031,0.267531980674564,-1.57173228021094,4.99058141047759
"13","Diet","Apple_pear",0.867627256331368,0.858462570568994,0.7,0.36,1,0,4
"14","Diet","Bacon",0.0707374967688569,0.0816139128760578,0.08,0.003,0.08,0,4
"15","Diet","Banana",0.407548405107791,0.456209688474021,0.36,0.08,0.7,0,4
"16","Diet","Berries_fresh_or_frozen",0.151071819262782,0.25833940017854,0.08,0.003,0.14,0,4
"17","Diet","Boilded_coffee",0.653432476865016,1.16337318959786,0.003,0.003,1,0,4
"18","Diet","Boiled_or_baked_potato",0.558732440676214,0.440804165423178,0.36,0.36,0.7,0,4
"19","Diet","Bregott_on_bread",1.04216999431319,1.18043053022121,0.36,0.003,2.5,0,4
"20","Diet","Brewed_filtered_coffee",2.0049414258388,1.3691695101324,2.5,0.7,2.5,0,4
"21","Diet","Brown_beans_pea_soup",0.0547243137052164,0.114690301761325,0.003,0.003,0.08,0,4
"22","Diet","Butter_on_bread",0.110729814403143,0.482054912743057,0,0,0.003,0,4
"23","Diet","Cheese_10_17",0.292592896655121,0.550647550564386,0.08,0,0.36,0,4
"24","Diet","Cheese_28",0.648397901049475,0.733239775067961,0.36,0.08,1,0,4
"25","Diet","Chips_salty_nuts_popcorn",0.0825943959054955,0.122069013535877,0.08,0.003,0.14,0,4
"26","Diet","Coffee_rolls",0.320222840303986,0.442711134250637,0.14,0.08,0.36,0,4
"27","Diet","Cookies_pastry",0.223334384531872,0.313574518246036,0.14,0.08,0.36,0,4
"28","Diet","Cooking_butter",0.181278064416068,0.412330245823778,0.003,0,0.14,0,4
"29","Diet","Cooking_margarine",0.573944052111875,0.649961986909091,0.36,0.08,1,0,4
"30","Diet","Cooking_oil",0.330941053611125,0.499487318924311,0.14,0.003,0.36,0,4
"31","Diet","Corn_flakes",0.190438711678643,0.321404299016767,0.08,0.003,0.14,0,4
"32","Diet","Cream_creme_fraiche_sour_cream",0.182530755311999,0.240944157498253,0.14,0.08,0.14,0,4
"33","Diet","Egg_omelet",0.194547036268017,0.213587884365847,0.14,0.14,0.14,0,4
"34","Diet","Fatty_fish",0.0789122369849558,0.10217253114717,0.08,0.003,0.08,0,4
"35","Diet","Fiber_cereals_muesli",0.285742894070206,0.39597841393632,0.08,0.003,0.36,0,4
"36","Diet","Fried_potato",0.11095248632182,0.150528106821903,0.08,0.08,0.14,0,4
"37","Diet","Hamburger",0.060339967947061,0.0743316730073268,0.08,0.003,0.08,0,4
"38","Diet","Ice_cream",0.0959898981543711,0.125168298024292,0.08,0.08,0.08,0,4
"39","Diet","Lean_fish",0.0931430181460994,0.110166933651632,0.08,0.08,0.14,0,4
"40","Diet","Lettuce_lettuce_cabbage",0.52656484442491,0.525205506766412,0.36,0.14,0.7,0,4
"41","Diet","Light_beer",0.0946060900584191,0.225812112614496,0.003,0,0.08,0,4
"42","Diet","Liquor_spirits",0.0298928294473453,0.0660397413108357,0.003,0,0.08,0,4
"43","Diet","Margarine_low_fat_on_bread",0.785601819779765,1.13623328383502,0.003,0,1,0,4
"44","Diet","Margarine_on_bread",0.0757349532130486,0.396899773747273,0,0,0,0,4
"45","Diet","Meat_on_bread",0.286940164400558,0.395444470548964,0.14,0.08,0.36,0,4
"46","Diet","Meat_stew",0.118583590963139,0.114393178169398,0.08,0.08,0.14,0,4
"47","Diet","Medium_beer",0.0658793465336297,0.150507263237831,0.003,0,0.08,0,4
"48","Diet","Milk_0.5",0.302134984232022,0.706406682080336,0,0,0.08,0,4
"49","Diet","Milk_1.5",0.752447293594582,0.927727212257713,0.36,0.003,1,0,4
"50","Diet","Milk_3.0",0.163966489169209,0.533971110733324,0,0,0.003,0,4
"51","Diet","Minced_meat_dishes",0.194291650726361,0.157539548931349,0.14,0.14,0.36,0,4
"52","Diet","Pancake_waffle",0.090632000121247,0.08861423420488,0.08,0.08,0.14,0,4
"53","Diet","Pasta",0.244642578710645,0.216253031622548,0.14,0.14,0.36,0,4
"54","Diet","Pizza",0.0579635423667477,0.069029416013389,0.08,0.003,0.08,0,4
"55","Diet","Rice",0.192832011580417,0.231533844403774,0.14,0.08,0.36,0,4
"56","Diet","Root_vegetables_carrot",0.442109931241276,0.48453828624843,0.36,0.14,0.7,0,4
"57","Diet","Rosehip_sweet_syrup_soup",0.0614636509331541,0.146500793811803,0.003,0.003,0.08,0,4
"58","Diet","Salad_dressing_with_oil",0.141966633924417,0.27609217120381,0.08,0.003,0.14,0,4
"59","Diet","Salty_fish",0.0226235537403712,0.0650793870288038,0.003,0.003,0.003,0,4
"60","Diet","Sausage_as_main_dish",0.124922535284082,0.113544304174302,0.08,0.08,0.14,0,4
"61","Diet","Sausage_liver_pate_on_bread",0.258840923902336,0.383260475912633,0.14,0.08,0.36,0,4
"62","Diet","Smoked_fish_or_meat",0.0405550638473866,0.101610767829652,0.003,0.003,0.08,0,4
"63","Diet","Sodas",0.242022302641783,0.413063253722359,0.08,0.08,0.36,0,4
"64","Diet","Steak",0.121561908700822,0.118735436471313,0.08,0.08,0.14,0,4
"65","Diet","Strong_beer",0.0414758103706767,0.0812813031930518,0.003,0,0.08,0,4
"66","Diet","Sugar_honey_marmelade_jam",0.550733392946454,0.845335644995136,0.14,0.08,0.7,0,4
"67","Diet","Sweets",0.221317913457065,0.285695515833854,0.14,0.08,0.36,0,4
"68","Diet","Tea",0.580813720725844,0.806439739494506,0.14,0.08,1,0,4
"69","Diet","Tomato_cucumber",0.568376622033811,0.514137536201129,0.36,0.36,0.7,0,4
"70","Diet","White_bread",0.506199087616132,0.618360527592972,0.36,0.08,0.7,0,4
"71","Diet","White_meat_poultry",0.111491723103965,0.123075116306384,0.08,0.08,0.14,0,4
"72","Diet","Whole_grain_crisp_bread",1.3289748125937,1.03665189882761,1,0.36,2.5,0,4
"73","Diet","Whole_grain_soft_bread",0.606677206224474,0.70286279812613,0.36,0.08,1,0,4
"74","Diet","Whole_wheat_rye_barley_porridge",0.199480986950789,0.329664310495404,0.08,0.003,0.14,0,4
"75","Diet","Wine",0.06703877371659,0.107166055256736,0.08,0.003,0.08,0,4
"76","Diet","Yoghurt_3",0.364849247789898,0.434942744622658,0.14,0.08,0.7,0,4
"77","Diet","Yoghurt_low_fat",0.211252908028744,0.372209809119804,0.08,0.003,0.14,0,4
"78","Lifestyle and environment","Change_in_appetite",0.00854530750373204,0.978936149382867,0.711388331478336,-0.251634035902005,0.711388331478336,-4.10372350542337,0.711388331478336
"79","Lifestyle and environment","Change_in_confidence",-0.000000000000000316439971095409,1.00000000000008,0.396723159587649,-0.387077162580779,0.396723159587649,-3.52227845125449,1.18052348175608
"80","Lifestyle and environment","Change_in_energy",-0.0000000000000000496053807629753,0.999999999999718,-0.0401275600197198,-0.761208323303594,0.680953203264154,-2.92445061315522,1.40203396654803
"81","Lifestyle and environment","Change_in_fitness",0.000000000000000201216928585284,1.00000000000004,0.276420399030726,-0.431779423332919,0.984620221394372,-2.55637889042386,1.69282004375802
"82","Lifestyle and environment","Change_in_hearing",-0.000000000000000127666022152898,1.00000000000009,0.246872310622016,-0.469396771185347,0.963141392429379,-3.3344730984148,0.963141392429379
"83","Lifestyle and environment","Change_in_memory",-0.000000000000000306093200567459,0.999999999999746,0.432135776080699,-0.355924870981855,0.432135776080699,-3.50816745923207,1.22019642314325
"84","Lifestyle and environment","Change_in_mood",0.0000000000000000760070066975492,0.999999999999706,0.34941790769848,-0.457331285635702,1.15616710103266,-3.68432805897243,1.15616710103266
"85","Lifestyle and environment","Change_in_patience",0.000000000000000114470182657496,1.00000000000008,0.510887270233694,-0.254101508411748,0.510887270233694,-3.31405662299351,1.27587604887914
"86","Lifestyle and environment","Change_in_sleep",0.0000000000000000844960310400393,1.00000000000008,0.41560951957883,-0.818477918166691,1.03265323845159,-2.66960907478497,1.03265323845159
"87","Lifestyle and environment","Change_in_vision",0.0000000000000000679121151554056,0.999999999999722,-0.136107323337687,-0.880327078501465,0.608112431826091,-3.1129863439928,1.35233218698987
"88","Lifestyle and environment","Feel_appreciated_inside_home",-0.000000000000000139400109978518,1.00000000000015,-0.0739058977685043,-0.0739058977685043,0.795079218508115,-4.4188314791516,0.795079218508115
"89","Lifestyle and environment","Feel_appreciated_outside_home",-0.000000000000000283786904668998,1.0000000000001,0.338764630242437,-0.491114654934238,0.338764630242437,-3.81063179564094,1.16864391541911
"90","Lifestyle and environment","Satisfaction_familiy",0.000000000000000316282531545696,1.00000000000025,-0.0402301538506406,-0.0402301538506406,0.764323651693898,-4.06299918157333,0.764323651693898
"91","Lifestyle and environment","Satisfaction_finances",0.0000000000000000740203134509625,1.00000000000006,0.458333876702003,-0.864861384185982,0.458333876702003,-2.84965427551796,1.119931507146
"92","Lifestyle and environment","Satisfaction_housing",-0.000000000000000311011352262793,0.999999999999902,0.72282036710646,-0.174553341527133,0.72282036710646,-4.6614218846951,0.72282036710646
"93","Lifestyle and environment","Satisfaction_leasure_time",-0.000000000000000117584358447644,1.00000000000001,0.336737232524139,-0.354313040885239,1.02778750593352,-3.11851413452275,1.02778750593352
"94","Lifestyle and environment","Satisfaction_work",0.000000000000000176288689032114,1.0000000000001,-0.0656124439738916,-0.67613694988346,0.544912061935677,-2.50771046761216,1.15543656784524
